tbl,Year,quarter,citymarketid_Dept,citymarketid_Arriv,Departure_city,Arrival_city,Airportid_Departure,Airportid_Arrival,D_airport_code,A_airport_code,Non_stop_Miles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_Departure,Geocoded_Arrival,tbl1apk
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,12264,LGB,IAD,2329,6,257.0,DL,0.4074,262.59,WN,0.1111,172.83,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841295412264LGBIAD
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,11278,LGB,DCA,2329,20,252.35,AA,0.5978,233.63,AA,0.5978,233.63,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841295411278LGBDCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,10821,LGB,BWI,2329,17,268.95,WN,0.5833,260.3,B6,0.1667,216.87,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841295410821LGBBWI
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,12264,ONT,IAD,2329,49,299.25,UA,0.46,301.71,WN,0.2044,256.17,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389112264ONTIAD
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,11278,ONT,DCA,2329,78,341.91,AA,0.549,391.6,WN,0.2353,290.29,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389111278ONTDCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,10821,ONT,BWI,2329,89,291.25,WN,0.6114,261.41,WN,0.6114,261.41,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389110821ONTBWI
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",13891,14747,ONT,SEA,978,765,181.64,AS,0.6927,183.19,WN,0.1877,172.93,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389114747ONTSEA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,12264,LGB,IAD,2329,5,251.96,DL,0.4773,260.52,AA,0.25,218.55,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831295412264LGBIAD
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,11278,LGB,DCA,2329,15,263.76,AA,0.4851,244.65,AA,0.4851,244.65,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831295411278LGBDCA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,10821,LGB,BWI,2329,13,291.38,AA,0.395,333.22,WN,0.3529,236.19,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831295410821LGBBWI
