tbl,Year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2018,4,34057,"Portland, OR",14057,PDX,119,3207660,0.7607,202.69,-0.0984,20,878020,0.607,149.4,-0.1066,99,2329640,0.8186,222.78,-0.0963,2018414057PDX
Table 7,2018,2,30154,"Nantucket, MA",10154,ACK,7,19210,1,211.1,0.0418,7,19210,1,211.1,0.0418,,,,,,2018210154ACK
Table 7,2018,3,34252,"Pasco/Kennewick/Richland, WA",14252,PSC,36,117760,0.2936,207.9,-0.1688,7,45650,0.3038,168.72,-0.2308,29,72110,0.2872,232.7,-0.1369,2018314252PSC
Table 7,2018,3,34794,"St. George, UT",14794,SGU,8,22020,0,173.56,0.1733,8,22020,0,173.56,0.1733,,,,,,2018314794SGU
Table 7,2018,4,30135,"Allentown/Bethlehem/Easton, PA",10135,ABE,25,115170,0.5192,184.59,-0.1823,7,37170,0.0815,246.07,0.1189,18,78000,0.7278,155.3,-0.3204,2018410135ABE
Table 7,2018,4,30140,"Albuquerque, NM",10140,ABQ,85,997630,0.9224,224.14,-0.0088,20,430910,0.9326,183.66,-0.0778,65,566720,0.9146,254.93,0.0336,2018410140ABQ
Table 7,2018,4,30208,"Augusta, GA",10208,AGS,41,81890,0,251.09,-0.0612,18,44140,0,225.2,-0.1215,23,37750,0,281.37,0.0032,2018410208AGS
Table 7,2018,4,30257,"Albany, NY",10257,ALB,63,521640,0.846,242.72,0.0172,21,143900,0.5797,227.46,0.0944,42,377740,0.9474,248.54,-0.0071,2018410257ALB
Table 7,2018,4,30279,"Amarillo, TX",10279,AMA,29,97290,0.7367,216.79,0.0351,8,64030,0.6688,196.73,0.0982,21,33260,0.8674,255.42,-0.046,2018410279AMA
Table 7,2018,4,30372,"Aspen, CO",10372,ASE,29,58050,0,387.98,0.5407,8,24120,0,307.09,0.3115,21,33930,0,445.49,0.6849,2018410372ASE
Table 7,2018,4,30397,"Atlanta, GA (Metropolitan Area)",10397,ATL,166,7504180,0.7877,211.14,0.0724,97,4336240,0.6934,189.42,0.0391,69,3167940,0.9167,240.87,0.1107,2018410397ATL
Table 7,2018,4,30408,"Appleton, WI",10408,ATW,40,103510,0.3549,224.22,-0.0534,7,16020,0,254.76,0.3041,33,87490,0.4199,218.63,-0.1057,2018410408ATW
Table 7,2018,4,30423,"Austin, TX",10423,AUS,125,2882270,0.9016,221.5,0.0258,27,384020,0.8271,204.47,0.0665,98,2498250,0.913,224.12,0.0203,2018410423AUS
Table 7,2018,4,30431,"Asheville, NC",10431,AVL,44,175690,0.5947,198.5,-0.1208,23,136330,0.7438,156.82,-0.2485,21,39360,0.0782,342.88,0.2031,2018410431AVL
Table 7,2018,4,30434,"Scranton/Wilkes-Barre, PA",10434,AVP,26,66710,0,251.59,-0.0477,5,21110,0,242.46,0.1565,21,45600,0,255.81,-0.1162,2018410434AVP
Table 7,2018,4,30466,"Phoenix, AZ",10466,AZA,40,345840,1,110.2,-0.4978,8,60840,1,86.15,-0.5756,32,285000,1,115.33,-0.4827,2018410466AZA
Table 7,2018,4,30469,"Kalamazoo, MI",10469,AZO,21,20400,0,290.41,0.108,12,12590,0,259.93,0.1974,9,7810,0,339.54,0.0146,2018410469AZO
Table 7,2018,4,30529,"Hartford, CT",10529,BDL,88,1271650,0.7142,235.42,0.0527,29,317200,0.6052,208.52,0.0821,59,954450,0.7504,244.36,0.0447,2018410529BDL
Table 7,2018,4,30581,"Bangor, ME",10581,BGR,24,63380,0.3536,201.94,-0.1295,10,25350,0,205.05,0.0077,14,38030,0.5893,199.86,-0.2036,2018410581BGR
Table 7,2018,4,30599,"Birmingham, AL",10599,BHM,73,572400,0.7978,255.88,0.1093,41,371250,0.705,234.81,0.0687,32,201150,0.9693,294.76,0.1749,2018410599BHM
Table 7,2018,4,30620,"Billings, MT",10620,BIL,32,119990,0.2039,252.44,0.0514,6,47260,0,243.92,0.0426,26,72730,0.3364,257.98,0.057,2018410620BIL
Table 7,2018,4,30627,"Bismarck/Mandan, ND",10627,BIS,27,75340,0.6258,231.91,-0.0284,5,18480,0.3306,255.23,0.1659,22,56860,0.7218,224.33,-0.0848,2018410627BIS
Table 7,2018,4,30666,"Bellingham, WA",10666,BLI,16,117800,0.8896,126.49,-0.388,3,6780,0,184.75,-0.2152,13,111020,0.9439,122.93,-0.4001,2018410666BLI
Table 7,2018,4,30685,"Bloomington/Normal, IL",10685,BMI,21,51120,0.4832,193.43,-0.127,4,16940,0,244.62,0.3635,17,34180,0.7226,168.06,-0.3068,2018410685BMI
Table 7,2018,4,30693,"Nashville, TN",10693,BNA,118,2750800,0.8567,210.48,-0.0011,67,1494740,0.8385,193.89,-0.0323,51,1256060,0.8784,230.23,0.0323,2018410693BNA
Table 7,2018,4,30713,"Boise, ID",10713,BOI,70,738660,0.6651,196.85,-0.1174,23,534130,0.633,157.95,-0.1872,47,204530,0.7489,298.42,0.0015,2018410713BOI
Table 7,2018,4,30721,"Boston, MA (Metropolitan Area)",10721,BOS,149,6580580,0.9377,215.94,-0.0532,41,2016360,0.9628,175.61,0.0532,108,4564220,0.9266,233.76,-0.0839,2018410721BOS
Table 7,2018,4,30747,"Brownsville, TX",10747,BRO,7,10420,0,248.41,0.2123,3,8470,0,225.21,0.2435,4,1950,0,349.17,0.1326,2018410747BRO
Table 7,2018,4,30781,"Baton Rouge, LA",10781,BTR,37,106260,0,275.7,0.1663,10,58950,0,258.42,0.2263,27,47310,0,297.24,0.1076,2018410781BTR
Table 7,2018,4,30785,"Burlington, VT",10785,BTV,50,232400,0.5438,243.11,0.0495,13,90000,0.4191,186.61,0.1417,37,142400,0.6225,278.82,0.0148,2018410785BTV
Table 7,2018,4,30792,"Buffalo, NY",10792,BUF,75,934510,0.8166,193.34,-0.0918,35,454550,0.6912,172.54,-0.0322,40,479960,0.9354,213.04,-0.1326,2018410792BUF
Table 7,2018,4,32575,"Los Angeles, CA (Metropolitan Area)",10800,BUR,180,1214070,0.9771,169.34,-0.0673,29,788640,0.9938,140.72,-0.0569,151,425430,0.9461,222.4,-0.0792,2018410800BUR
Table 7,2018,4,30852,"Washington, DC (Metropolitan Area)",10821,BWI,170,3588410,0.9499,201.13,-0.0614,71,1465520,0.9503,172.8,-0.0061,99,2122890,0.9496,220.68,-0.0888,2018410821BWI
Table 7,2018,4,30849,"Bozeman, MT",10849,BZN,47,182160,0.2158,266.8,0.0921,6,58780,0.4719,192.26,-0.0081,41,123380,0.0938,302.32,0.1265,2018410849BZN
Table 7,2018,4,30868,"Columbia, SC",10868,CAE,58,212200,0,266.41,0.0945,29,119200,0,244.74,0.1107,29,93000,0,294.18,0.0778,2018410868CAE
Table 7,2018,4,30647,"Cleveland, OH (Metropolitan Area)",10874,CAK,95,152720,0.1371,233.89,0.0843,46,79710,0,225.16,0.1176,49,73010,0.2868,243.42,0.0526,2018410874CAK
Table 7,2018,4,30980,"Chattanooga, TN",10980,CHA,54,162750,0.0708,241.95,-0.0065,26,94690,0.1218,224.43,-0.0138,28,68060,0,266.33,0.0023,2018410980CHA
Table 7,2018,4,30990,"Charlottesville, VA",10990,CHO,43,116030,0,261.02,0.0061,19,60480,0,242.46,0.0831,24,55550,0,281.22,-0.0569,2018410990CHO
Table 7,2018,4,30994,"Charleston, SC",10994,CHS,83,856750,0.6735,218.11,-0.0246,44,499540,0.633,198.06,-0.0693,39,357210,0.7302,246.15,0.0311,2018410994CHS
Table 7,2018,4,31003,"Cedar Rapids/Iowa City, IA",11003,CID,47,194100,0.4428,246.29,0.0427,7,58140,0.3056,241.94,0.0669,40,135960,0.5015,248.15,0.0329,2018411003CID
Table 7,2018,4,30647,"Cleveland, OH (Metropolitan Area)",11042,CLE,98,1631630,0.7756,208.13,-0.011,46,758080,0.5978,199.55,0.0852,52,873550,0.93,215.58,-0.0767,CLE 2018411042.00
Table 7,2018,4,31057,"Charlotte, NC",11057,CLT,127,2812840,0.4663,248.1,0.2419,83,1926300,0.3951,224.22,0.2509,44,886540,0.6209,299.98,0.2276,2018411057CLT
Table 7,2018,4,31066,"Columbus, OH",11066,CMH,89,1500600,0.7566,215.9,0.0556,48,728600,0.6208,203.75,0.161,41,772000,0.8848,227.37,-0.0197,2018411066CMH
Table 7,2018,4,31067,"Champaign/Urbana, IL",11067,CMI,13,15090,0,282.83,0.1794,5,9580,0,255,0.2147,8,5510,0,331.22,0.1353,2018411067CMI
Table 7,2018,4,30189,"Colorado Springs, CO",11109,COS,56,235780,0.2031,229.13,-0.0524,7,77950,0.4355,169.89,-0.2038,49,157830,0.0883,258.39,0.01,2018411109COS
Table 7,2018,4,32474,"Jefferson City/Columbia, MO",11111,COU,14,22640,0,240.38,0.0774,3,15960,0,220.72,0.136,11,6680,0,287.33,-0.0158,COU 2018411111.00
Table 7,2018,4,31122,"Casper, WY",11122,CPR,9,12140,0,292.06,0.3944,3,7980,0,235.2,0.1446,6,4160,0,401.12,0.848,2018411122CPR
Table 7,2018,4,31140,"Corpus Christi, TX",11140,CRP,35,84020,0.6935,261.16,0.0859,5,35660,0.4989,229.16,0.2637,30,48360,0.8371,284.76,0.0022,2018411140CRP
Table 7,2018,4,31146,"Charleston/Dunbar, WV",11146,CRW,28,43910,0,280.42,0.276,17,30100,0,251.23,0.307,11,13810,0,344.04,0.2296,2018411146CRW
Table 7,2018,4,33105,"Cincinnati, OH",11193,CVG,92,1463560,0.7292,202.93,-0.0214,48,646160,0.5662,193.56,0.03,44,817400,0.8582,210.34,-0.0557,2018411193CVG
Table 7,2018,4,30424,"Wausau/Mosinee/Stevens Point, WI",11203,CWA,12,8860,0,282.35,0.0253,2,2060,0,231.7,-0.0457,10,6800,0,297.7,0.0436,2018411203CWA
Table 7,2018,4,31252,"Daytona Beach, FL",11252,DAB,41,104910,0.2113,224.95,-0.0745,7,28660,0,207.62,-0.027,34,76250,0.2908,231.46,-0.0895,2018411252DAB
Table 7,2018,4,30194,"Dallas/Fort Worth, TX",11259,DAL,146,2290150,0.9931,190.97,-0.0611,38,979760,0.9985,182.42,0,108,1310390,0.989,197.36,-0.0991,2018411259DAL
Table 7,2018,4,31267,"Dayton, OH",11267,DAY,66,282540,0.0524,240.6,0.0047,28,145240,0,220.91,0.0114,38,137300,0.1079,261.43,-0.0012,2018411267DAY
Table 7,2018,4,30852,"Washington, DC (Metropolitan Area)",11278,DCA,171,4384810,0.6212,224.91,0.1156,72,2177540,0.4924,197.72,0.1611,99,2207270,0.7483,251.74,0.0827,2018411278DCA
Table 7,2018,4,30325,"Denver, CO",11292,DEN,175,7438670,0.9654,192.53,-0.0805,48,1728230,0.9485,165.19,-0.1249,127,5710440,0.9704,200.8,-0.0687,2018411292DEN
Table 7,2018,4,30194,"Dallas/Fort Worth, TX",11298,DFW,191,5665830,0.3597,244.01,0.1692,72,1393020,0.1251,220.48,0.1745,119,4272810,0.4361,251.69,0.1676,2018411298DFW
Table 7,2018,4,31337,"Duluth, MN",11337,DLH,9,14600,0,210.89,-0.0865,2,7790,0,166.03,-0.147,7,6810,0,262.21,-0.037,2018411337DLH
Table 7,2018,4,30285,"Durango, CO",11413,DRO,20,35670,0,293.42,0.189,8,25260,0,261.45,0.1565,12,10410,0,371,0.2489,2018411413DRO
Table 7,2018,4,31423,"Des Moines, IA",11423,DSM,69,486260,0.7289,225.17,0.0017,16,121150,0.535,231.52,0.1825,53,365110,0.7932,223.07,-0.0484,2018411423DSM
Table 7,2018,4,31295,"Detroit, MI",11433,DTW,131,3630770,0.7085,229.31,0.1034,78,1703730,0.5287,215.44,0.2112,53,1927040,0.8675,241.58,0.031,2018411433DTW
Table 7,2018,4,31481,"Panama City, FL",11481,ECP,43,110780,0.6647,253.11,0.0371,13,52130,0.5404,231.69,-0.0279,30,58650,0.7753,272.15,0.0924,2018411481ECP
Table 7,2018,4,31503,"Eagle, CO",11503,EGE,20,28350,0,454.47,0.7795,6,7730,0,389.51,0.6076,14,20620,0,478.82,0.8395,2018411503EGE
Table 7,2018,4,30615,"El Paso, TX",11540,ELP,77,641560,0.8536,233.16,0.0073,21,352950,0.8673,196.48,-0.0316,56,288610,0.8368,278.02,0.0436,2018411540ELP
Table 7,2018,4,31603,"Eugene, OR",11603,EUG,37,173060,0.3226,208.7,-0.1566,9,69630,0.3023,170.22,-0.2797,28,103430,0.3363,234.61,-0.0798,2018411603EUG
Table 7,2018,4,31612,"Evansville, IN",11612,EVV,28,48650,0.1163,246.71,0.193,13,34210,0.1654,229.39,0.3154,15,14440,0,287.73,0.0146,2018411612EVV
Table 7,2018,4,31617,"New Bern/Morehead/Beaufort, NC",11617,EWN,14,9790,0,238.88,-0.158,10,7640,0,209.12,-0.2202,4,2150,0,344.66,0.0168,2018411617EWN
Table 7,2018,4,31703,"New York City, NY (Metropolitan Area)",11618,EWR,174,5698050,0.5276,252.3,0.1466,51,1092670,0.2892,199.88,0.2373,123,4605380,0.5841,264.74,0.1317,2018411618EWR
Table 7,2018,4,31624,"Key West, FL",11624,EYW,37,108830,0.1752,335.88,0.5535,4,14660,0,290.11,0.5348,33,94170,0.2025,343.01,0.556,2018411624EYW
Table 7,2018,4,31637,"Fargo, ND",11637,FAR,43,117950,0.4213,259.96,0.0275,5,20230,0.3465,249.43,0.2524,38,97720,0.4368,262.14,-0.0076,2018411637FAR
Table 7,2018,4,31638,"Fresno, CA",11638,FAT,51,259600,0.2072,245.98,-0.0273,14,132510,0.1862,182.81,-0.0925,37,127090,0.2292,311.85,0.0174,2018411638FAT
Table 7,2018,4,31641,"Fayetteville, NC",11641,FAY,33,51830,0,252.31,0.0296,19,29720,0,228.88,0.0986,14,22110,0,283.81,-0.036,2018411641FAY
Table 7,2018,4,31648,"Kalispell, MT",11648,FCA,25,55040,0.1324,253.08,0.0672,3,14330,0,199.97,0.1165,22,40710,0.1791,271.78,0.0552,2018411648FCA
Table 7,2018,4,31695,"Flagstaff, AZ",11695,FLG,8,5450,0,227.2,0.0149,8,5450,0,227.2,0.0149,,,,,,2018411695FLG
Table 7,2018,4,32467,"Miami, FL (Metropolitan Area)",11697,FLL,152,4379240,0.9685,196.76,-0.0914,33,637430,0.8775,156.96,-0.1789,119,3741810,0.984,203.54,-0.0784,2018411697FLL
Table 7,2018,4,31721,"Flint, MI",11721,FNT,24,95340,0.5571,166.95,-0.2712,3,23330,0,216.32,-0.0448,21,72010,0.7375,150.95,-0.3434,2018411721FNT
Table 7,2018,4,31775,"Sioux Falls, SD",11775,FSD,51,172510,0.3919,247.93,-0.0064,10,43580,0.266,256.6,0.0182,41,128930,0.4344,245.01,-0.0148,2018411775FSD
Table 7,2018,4,31823,"Fort Wayne, IN",11823,FWA,40,114460,0.3629,221.11,-0.0696,18,39520,0,240.52,0.0806,22,74940,0.5543,210.87,-0.1414,2018411823FWA
Table 7,2018,4,31884,"Spokane, WA",11884,GEG,70,720470,0.6307,193.36,-0.1431,12,319180,0.3196,141.71,-0.206,58,401290,0.8781,234.44,-0.1092,2018411884GEG
Table 7,2018,4,31898,"Grand Forks, ND",11898,GFK,7,22360,0.746,184.18,-0.1035,1,2840,0,284.37,-32.0914,6,19520,0.8545,169.6,-0.2833,2018411898GFK
Table 7,2018,4,31921,"Grand Junction, CO",11921,GJT,27,49880,0.1195,255.96,0.0558,10,26810,0.2223,204.19,-0.1404,17,23070,0,316.12,0.274,2018411921GJT
Table 7,2018,4,31953,"Gainesville, FL",11953,GNV,29,51220,0,271.65,0.1987,8,24510,0,250.1,0.4716,21,26710,0,291.43,0.0459,2018411953GNV
Table 7,2018,4,31973,"Gulfport/Biloxi, MS",11973,GPT,35,61880,0,263.3,0.0555,9,24090,0,246.6,0.1323,26,37790,0,273.95,0.0159,2018411973GPT
Table 7,2018,4,31977,"Green Bay, WI",11977,GRB,36,71280,0,304.96,0.2924,8,19760,0,273.52,0.9746,28,51520,0,317.01,0.1598,2018411977GRB
Table 7,2018,4,31982,"Killeen, TX",11982,GRK,13,10220,0,282.77,0.0266,1,2100,0,249.8,0.1176,12,8120,0,291.29,0.0083,2018411982GRK
Table 7,2018,4,31986,"Grand Rapids, MI",11986,GRR,72,584510,0.7016,222.27,-0.0181,32,214470,0.4155,225,0.0543,40,370040,0.8673,220.68,-0.0564,2018411986GRR
Table 7,2018,4,31995,"Greensboro/High Point, NC",11995,GSO,67,342810,0.0938,247.2,0.0777,44,256020,0.1256,220.39,0.0597,23,86790,0,326.27,0.1156,2018411995GSO
Table 7,2018,4,31871,"Greenville/Spartanburg, SC",11996,GSP,70,412730,0.496,240.68,0.0557,40,249900,0.3984,221.98,0.0384,30,162830,0.6458,269.38,0.0783,2018411996GSP
Table 7,2018,4,31895,"Great Falls, MT",12003,GTF,15,38770,0.4418,179.12,-0.1649,3,11960,0,204.13,0.1297,12,26810,0.6389,167.97,-0.2683,2018412003GTF
Table 7,2018,4,34699,"Steamboat Springs, CO",12094,HDN,8,8920,0.0112,416.08,0.8831,,,,,,8,8920,0.0112,416.08,0.8831,2018412094HDN
Table 7,2018,4,32156,"Helena, MT",12156,HLN,16,20770,0,248.12,-0.0795,4,12170,0,227.8,-0.0816,12,8600,0,276.86,-0.077,2018412156HLN
Table 7,2018,4,31453,"Houston, TX",12191,HOU,155,1928960,0.9758,204.87,-0.0114,38,717950,0.9664,194.7,0.0382,117,1211010,0.9813,210.89,-0.0366,2018412191HOU
Table 7,2018,4,31703,"New York City, NY (Metropolitan Area)",12197,HPN,160,355210,0.4967,256.53,0.2808,43,55700,0,262.84,0.343,117,299510,0.5891,255.35,0.2696,2018412197HPN
Table 7,2018,4,32206,"Harlingen/San Benito, TX",12206,HRL,32,103680,0.8647,209.62,-0.0723,7,50550,0.9066,185.48,-0.006,25,53130,0.8248,232.58,-0.117,2018412206HRL
Table 7,2018,4,30255,"Huntsville, AL",12217,HSV,57,195230,0.1214,303.92,0.3112,27,115990,0.0878,286.54,0.4326,30,79240,0.1705,329.35,0.1835,2018412217HSV
Table 7,2018,4,30852,"Washington, DC (Metropolitan Area)",12264,IAD,168,2063820,0.3823,257.64,0.1386,69,660880,0.3461,193.74,0.1618,99,1402940,0.3993,287.75,0.1314,2018412264IAD
Table 7,2018,4,31453,"Houston, TX",12266,IAH,163,3406120,0.4116,251.46,0.1756,40,654850,0.2455,227.09,0.2464,123,2751270,0.4511,257.26,0.1617,2018412266IAH
Table 7,2018,4,30928,"Wichita, KS",12278,ICT,58,278230,0.6907,234.06,0.0106,14,88040,0.39,227.44,0.111,44,190190,0.8298,237.13,-0.0284,2018412278ICT
Table 7,2018,4,32280,"Idaho Falls, ID",12280,IDA,13,25720,0.5556,204.9,-0.142,10,22990,0.6216,177.6,-0.209,3,2730,0,434.77,0.2112,2018412280IDA
Table 7,2018,4,32323,"Wilmington, NC",12323,ILM,54,166620,0,245.31,0.0251,29,101470,0,229.19,0.0378,25,65150,0,270.41,0.0087,2018412323ILM
Table 7,2018,4,32337,"Indianapolis, IN",12339,IND,106,1798200,0.7488,218.19,-0.0048,58,687080,0.4998,218.82,0.0554,48,1111120,0.9027,217.8,-0.0389,2018412339IND
Table 7,2018,4,31703,"New York City, NY (Metropolitan Area)",12391,ISP,113,287060,0.9743,183.87,-0.0775,43,47390,0.8842,194.75,0.0766,70,239670,0.9921,181.71,-0.1047,2018412391ISP
Table 7,2018,4,32397,"Ithaca/Cortland, NY",12397,ITH,10,11960,0,303.97,0.0656,3,5430,0,201.49,0.102,7,6530,0,389.18,0.0507,2018412397ITH
Table 7,2018,4,32441,"Jackson, WY",12441,JAC,28,56580,0,384.46,0.411,5,13700,0,295.28,0.2057,23,42880,0,412.95,0.4682,2018412441JAC
Table 7,2018,4,32448,"Jackson/Vicksburg, MS",12448,JAN,47,160600,0.102,284.67,0.1672,19,83010,0.0811,263.98,0.1701,28,77590,0.1244,306.8,0.1646,2018412448JAN
Table 7,2018,4,31136,"Jacksonville, FL",12451,JAX,88,1226340,0.8215,217.49,0.0134,29,467110,0.8443,195.56,0.0112,59,759230,0.8075,230.98,0.0145,2018412451JAX
Table 7,2018,4,31703,"New York City, NY (Metropolitan Area)",12478,JFK,176,4916920,0.8666,262.91,0.0887,53,755520,0.7401,168.78,0.0771,123,4161400,0.8896,280,0.09,2018412478JFK
Table 7,2018,4,32884,"Lansing, MI",12884,LAN,22,24660,0,251.91,0.0029,14,19140,0,227,-0.0156,8,5520,0,338.29,0.0487,2018412884LAN
Table 7,2018,4,32211,"Las Vegas, NV",12889,LAS,165,7072830,0.9739,186.47,-0.1666,35,2290910,0.9936,139.25,-0.1974,130,4781920,0.9645,209.1,-0.1563,2018412889LAS
Table 7,2018,4,32575,"Los Angeles, CA (Metropolitan Area)",12892,LAX,194,9791230,0.8413,236,-0.0318,33,2306330,0.9468,135.42,-0.1755,161,7484900,0.8088,266.99,-0.0047,2018412892LAX
Table 7,2018,4,32896,"Lubbock, TX",12896,LBB,41,161340,0.8065,231.4,0.0402,11,103740,0.7405,201.27,0.0306,30,57600,0.9254,285.67,0.0526,2018412896LBB
Table 7,2018,4,31066,"Columbus, OH",12917,LCK,7,38050,1,91.66,-0.5454,3,5380,1,78.06,-0.6435,4,32670,1,93.9,-0.5276,2018412917LCK
Table 7,2018,4,32945,"Lexington, KY",12945,LEX,53,213110,0.224,242.28,0.0474,25,125760,0.2084,217.22,0.0255,28,87350,0.2464,278.36,0.0732,2018412945LEX
Table 7,2018,4,32951,"Lafayette, LA",12951,LFT,25,49870,0.1927,283.68,0.2276,5,24960,0.139,266.63,0.4682,20,24910,0.2465,300.75,0.0716,2018412951LFT
Table 7,2018,4,31703,"New York City, NY (Metropolitan Area)",12953,LGA,176,5831020,0.5363,217.96,0.1641,53,1635480,0.2901,202.36,0.2867,123,4195540,0.6322,224.03,0.1263,2018412953LGA
Table 7,2018,4,32575,"Los Angeles, CA (Metropolitan Area)",12954,LGB,159,718100,0.9648,145.39,-0.2621,23,504310,0.9638,116.97,-0.2875,136,213790,0.9671,212.42,-0.2262,2018412954LGB
Table 7,2018,4,32600,"Little Rock, AR",12992,LIT,65,362910,0.7848,247.36,0.0477,25,157850,0.602,233.48,0.0772,40,205060,0.9255,258.04,0.028,2018412992LIT
Table 7,2018,4,33029,"Lincoln, NE",13029,LNK,15,21490,0,257.32,0.2116,4,13220,0,238.03,0.3673,11,8270,0,288.16,0.0532,2018413029LNK
Table 7,2018,4,33076,"La Crosse, WI",13076,LSE,9,6530,0,239.8,-0.0689,2,2220,0,207.04,-0.1733,7,4310,0,256.67,-0.0173,2018413076LSE
Table 7,2018,4,33158,"Midland/Odessa, TX",13158,MAF,40,211600,0.7215,292.28,0.3731,14,152450,0.6677,282.26,0.4597,26,59150,0.86,318.12,0.2091,MAF 2018413158.00
Table 7,2018,4,33184,"Saginaw/Bay City/Midland, MI",13184,MBS,19,16090,0,291.25,0.1378,13,12150,0,277.01,0.1357,6,3940,0,335.16,0.1431,2018413184MBS
Table 7,2018,4,33198,"Kansas City, MO",13198,MCI,112,2104260,0.887,206.87,-0.0551,38,869690,0.8127,189.96,-0.0776,74,1234570,0.9393,218.78,-0.0408,2018413198MCI
Table 7,2018,4,31454,"Orlando, FL",13204,MCO,151,6936500,0.9678,190.12,-0.1154,34,913060,0.8856,174.98,-0.099,117,6023440,0.9802,192.41,-0.1177,2018413204MCO
Table 7,2018,4,32070,"Harrisburg, PA",13230,MDT,49,208820,0.3109,261.41,0.0994,16,81890,0,275.76,0.3841,33,126930,0.5115,252.15,-0.04,2018413230MDT
Table 7,2018,4,30977,"Chicago, IL",13232,MDW,154,2744430,0.9923,191.53,-0.0086,71,1018240,0.9913,176.76,0.0468,83,1726190,0.9929,200.25,-0.0351,2018413232MDW
Table 7,2018,4,33244,"Memphis, TN",13244,MEM,82,842600,0.5701,238.2,0.06,39,432830,0.4351,221.46,0.0058,43,409770,0.7127,255.88,0.1149,2018413244MEM
Table 7,2018,4,33256,"Mission/McAllen/Edinburg, TX",13256,MFE,31,104060,0.2535,293.28,0.1522,4,31860,0,278.83,0.2931,27,72200,0.3654,299.66,0.1029,2018413256MFE
Table 7,2018,4,33264,"Medford, OR",13264,MFR,37,159990,0.2551,195.78,-0.1834,14,109620,0.3723,161.12,-0.2324,23,50370,0,271.22,-0.1101,2018413264MFR
Table 7,2018,4,33277,"Montgomery, AL",13277,MGM,17,24930,0,287.17,0.2142,6,16020,0,263.31,0.125,11,8910,0,330.07,0.37,2018413277MGM
Table 7,2018,4,30721,"Boston, MA (Metropolitan Area)",13296,MHT,146,376930,0.7837,229,0.0503,40,128580,0.6083,205.25,0.1148,106,248350,0.8745,241.29,0.0243,2018413296MHT
Table 7,2018,4,32467,"Miami, FL (Metropolitan Area)",13303,MIA,147,3034190,0.0628,235.25,0.0737,33,527180,0,187.2,0.0006,114,2507010,0.076,245.35,0.0864,2018413303MIA
Table 7,2018,4,33342,"Milwaukee, WI",13342,MKE,88,1266220,0.8341,211.59,-0.0356,33,394440,0.6973,206.62,-0.0334,55,871780,0.8959,213.84,-0.0366,2018413342MKE
Table 7,2018,4,33360,"Melbourne, FL",13360,MLB,25,46840,0,217.03,-0.116,2,16630,0,192.94,-0.1615,23,30210,0,230.29,-0.0932,2018413360MLB
Table 7,2018,4,33367,"Quad Cities, IL (Metropolitan Area)",13367,MLI,42,108700,0.3404,213.62,-0.097,9,31130,0,233.27,0.1325,33,77570,0.477,205.73,-0.1733,2018413367MLI
Table 7,2018,4,33377,"Monroe, LA",13377,MLU,12,13620,0,268.54,0.4418,4,8690,0,241.31,0.9144,8,4930,0,316.54,0.0827,2018413377MLU
Table 7,2018,4,30562,"Mobile, AL",13422,MOB,35,66950,0,302.67,0.3562,8,27170,0,274.71,0.5838,27,39780,0,321.76,0.2514,2018413422MOB
Table 7,2018,4,33304,"Minot, ND",13433,MOT,7,31470,0.6587,214.89,0.039,2,7510,0,287.76,0.563,5,23960,0.8652,192.05,-0.1023,2018413433MOT
Table 7,2018,4,34922,"Salinas/Monterey, CA",13476,MRY,18,56030,0.0967,221.59,0.0191,7,40980,0.1323,173.05,-0.0369,11,15050,0,353.77,0.1046,2018413476MRY
Table 7,2018,4,33485,"Madison, WI",13485,MSN,64,377510,0.1823,261.14,0.1491,18,97030,0,248.52,0.1437,46,280480,0.2454,265.5,0.1509,2018413485MSN
Table 7,2018,4,33486,"Missoula, MT",13486,MSO,33,120560,0.2196,220.66,-0.1198,6,53630,0.3459,178.19,-0.2086,27,66930,0.1183,254.7,-0.0608,2018413486MSO
Table 7,2018,4,31650,"Minneapolis/St. Paul, MN",13487,MSP,153,4198370,0.6004,219.77,0.0466,49,1116130,0.6143,211.7,0.1696,104,3082240,0.5954,222.69,0.01,2018413487MSP
Table 7,2018,4,33495,"New Orleans, LA",13495,MSY,107,2474750,0.9272,210.1,-0.0425,41,900890,0.8615,190.71,-0.0557,66,1573860,0.9648,221.19,-0.0358,2018413495MSY
Table 7,2018,4,33502,"Montrose/Delta, CO",13502,MTJ,14,16250,0.1809,351.51,0.3384,5,7060,0.4164,296.57,0.2646,9,9190,0,393.72,0.3852,2018413502MTJ
Table 7,2018,4,31135,"Myrtle Beach, SC",13577,MYR,53,185810,0.7948,181.58,-0.2079,32,130280,0.7531,162.29,-0.2669,21,55530,0.8928,226.83,-0.084,MYR 2018413577.00
Table 7,2018,4,33795,"Jacksonville/Camp Lejeune, NC",13795,OAJ,20,21280,0,263.17,-0.086,12,12390,0,228.17,-0.1558,8,8890,0,311.94,-0.0018,2018413795OAJ
