tbl,Year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2018,1,35096,"Syracuse, NY",15096,SYR,57,330890,0.6395,235.46,-0.0184,20,97100,0.4738,209.04,0.0029,37,233790,0.7082,246.44,-0.0257,2018115096SYR
Table 7,2017,3,34685,"Savannah, GA",14685,SAV,66,413870,0.4532,216.38,0.0491,24,135060,0.4223,207.33,-0.035,42,278810,0.4681,220.77,0.0924,2017314685SAV
Table 7,2017,3,35380,"Traverse City, MI",15380,TVC,40,92330,0,326.4,0.2922,17,40860,0,296.31,0.2366,23,51470,0,350.28,0.3325,2017315380TVC
Table 7,2017,2,31140,"Corpus Christi, TX",11140,CRP,34,79780,0.6624,256.16,0.0381,6,38370,0.5194,221.19,0.1237,28,41410,0.795,288.56,-0.0152,2017211140CRP
Table 7,2017,4,30781,"Baton Rouge, LA",10781,BTR,37,106010,0,254.66,0.103,10,54670,0,238.9,0.228,27,51340,0,271.45,0.0069,2017410781BTR
Table 7,2018,1,31503,"Eagle, CO",11503,EGE,27,103820,0,422.29,0.7582,6,21760,0,325.25,0.3566,21,82060,0,448.02,0.8645,2018111503EGE
Table 7,2017,4,34711,"Philipsburg/State College, PA",14711,SCE,19,24460,0,316.81,0.2866,7,12380,0,277.21,0.5819,12,12080,0,357.4,0.1203,2017414711SCE
Table 7,2017,2,34574,"Roanoke, VA",14574,ROA,36,75740,0.2036,273.66,0.0677,17,46910,0.3287,212.76,-0.0184,19,28830,0,372.75,0.1624,2017214574ROA
Table 7,2017,1,30466,"Phoenix, AZ",14107,PHX,163,5705230,0.9084,205.01,-0.9374,36,1908880,0.9388,163.04,3.4421,127,3796350,0.8931,226.12,-2.435,2017114107PHX
Table 7,2017,3,31481,"Panama City, FL",11481,ECP,48,152150,0.8333,244.78,0.0426,13,72200,0.7902,218.32,-0.0307,35,79950,0.8723,268.68,0.1037,2017311481ECP
Table 7,2018,2,33195,"Tampa, FL (Metropolitan Area)",14112,PIE,55,465910,1,90.16,-0.5691,17,107820,1,78.89,-0.6334,38,358090,1,93.55,-0.549,2018214112PIE
Table 7,2017,3,34433,"Santa Rosa, CA",15023,STS,9,78360,0,161.42,-0.1956,9,78360,0,161.42,-0.1956,,,,,,2017315023STS
Table 7,2017,2,35356,"Trenton, NJ",15356,TTN,13,111020,0.9998,96.17,-0.565,5,52890,1,86.59,-0.6172,8,58130,0.9997,104.87,-0.5154,2017215356TTN
Table 7,2018,1,31895,"Great Falls, MT",12003,GTF,10,29290,0.5824,171.93,-0.202,2,7200,0,215.55,0.1159,8,22090,0.7723,157.71,-0.2919,2018112003GTF
Table 7,2017,4,31140,"Corpus Christi, TX",11140,CRP,40,96430,0.7398,252.5,0.0442,6,39280,0.5425,219.13,0.1861,34,57150,0.8754,275.44,-0.0199,2017411140CRP
Table 7,2017,1,34574,"Roanoke, VA",14574,ROA,36,61710,0.1672,267.83,8.1645,17,36450,0.2831,215.36,0.3403,19,25260,0,343.53,16.3734,2017114574ROA
Table 7,2017,3,33264,"Medford, OR",13264,MFR,36,153430,0.2664,195.67,-0.1997,15,102490,0.3732,163.24,-0.2398,21,50940,0.0514,260.91,-0.1428,2017313264MFR
Table 7,2018,1,33214,"San Antonio, TX",14683,SAT,111,1554690,0.8827,232.82,0.0533,25,308770,0.7656,205.82,-0.0647,86,1245920,0.9118,239.51,0.0824,2018114683SAT
Table 7,2018,2,32211,"Las Vegas, NV",12889,LAS,163,7500720,0.9757,180.89,-0.1741,33,2297090,0.9964,136.97,-0.2208,130,5203630,0.9665,200.28,-0.1589,2018212889LAS
Table 7,2017,1,32457,"San Francisco, CA (Metropolitan Area)",14831,SJC,146,1844880,0.9217,188.22,-4.3447,24,1249190,0.9688,147.34,-9.0248,122,595690,0.8228,273.95,1.5471,2017114831SJC
Table 7,2018,2,34057,"Portland, OR",14057,PDX,117,3348690,0.8092,198.74,-0.1043,19,869350,0.618,147.84,-0.1124,98,2479340,0.8762,216.59,-0.1023,2018214057PDX
Table 7,2018,2,33076,"La Crosse, WI",13076,LSE,15,10610,0,295.38,0.0456,2,2190,0,237.85,-0.1092,13,8420,0,310.34,0.0831,2018213076LSE
Table 7,2017,1,32441,"Jackson, WY",12441,JAC,33,78280,0,392.8,44.3165,5,12860,0,364.42,43.4285,28,65420,0,398.38,44.4773,2017112441JAC
Table 7,2018,2,33105,"Cincinnati, OH",11193,CVG,93,1560290,0.8019,194.82,-0.0454,50,677350,0.7019,188.3,0.0006,43,882940,0.8786,199.83,-0.076,2018211193CVG
