tbl,Year,quarter,citymarketid,city,markets,cur_passengers,cur_fare,cur_yield,distance,ly_passengers,ly_fare,ly_yield,ly_distance,Geocoded_City,tbl2pk
Table 2,2017,2,30977,"Chicago, IL",69,10482760,196.37,20.15,974.4,10300060,187.3,19.25,972.8,"Chicago, IL
(41.775002, -87.696388)",2017230977
Table 2,2017,2,30852,"Washington, DC (Metropolitan Area)",73,9920270,217.58,20.07,1084.4,9683630,212.09,19.52,1086.6,"Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",2017230852
Table 2,2017,2,30792,"Buffalo, NY",17,770770,189.95,19.77,960.9,764770,183.27,18.88,970.5,"Buffalo, NY
(39.945422, -78.64671)",2017230792
Table 2,2017,2,30721,"Boston, MA (Metropolitan Area)",53,7313330,219.43,17.83,1230.4,7102270,215.09,17.4,1236,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",2017230721
Table 2,2017,2,30713,"Boise, ID",12,434530,163.74,26.19,625.2,409010,166.4,25.79,645.2,"Boise, ID
(43.597772, -83.884521)",2017230713
Table 2,2017,2,30693,"Nashville, TN",35,2163210,224.63,24.78,906.6,2024570,216.83,23.8,911,"Nashville, TN
(36.166687, -86.779932)",2017230693
Table 2,2017,2,30647,"Cleveland, OH (Metropolitan Area)",27,1580690,195.71,18.44,1061.1,1559050,203.73,19.31,1054.9,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)",2017230647
Table 2,2017,2,30615,"El Paso, TX",10,319360,221.87,27.51,806.5,320150,224.44,27.07,829,"El Paso, TX
(31.76006, -106.492257)",2017230615
Table 2,2017,2,30599,"Birmingham, AL",8,232470,243.05,31.56,770.2,254660,229.56,30.1,762.6,"Birmingham, AL
(33.522859, -86.807705)",2017230599
Table 2,2017,2,30559,"Seattle, WA",49,5386320,209.11,14.96,1397.7,5152630,196.74,14.11,1394.1,"Seattle, WA
(47.603229, -122.33028)",2017230559
Table 2,2017,2,30529,"Hartford, CT",20,960070,228.2,18.6,1227,957730,222.3,18.2,1221.7,"Hartford, CT
(41.765775, -72.673356)",2017230529
Table 2,2017,2,30466,"Phoenix, AZ",55,5158110,199.71,17.06,1170.9,4866240,197.98,16.83,1176.3,"Phoenix, AZ
(30.406931, -87.217578)",2017230466
Table 2,2017,2,30436,"Tucson, AZ",12,365150,218.56,20.35,1074.3,363340,212.16,20.16,1052.4,"Tucson, AZ
(35.167852, -103.726151)",2017230436
Table 2,2017,2,30423,"Austin, TX",34,2212040,221.52,18.93,1170.4,2059000,226.25,19.28,1173.3,"Austin, TX
(30.264979, -97.746598)",2017230423
Table 2,2017,2,30397,"Atlanta, GA (Metropolitan Area)",63,6916520,199.67,22.49,887.9,6789230,195.4,21.9,892.1,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)",2017230397
Table 2,2017,2,30325,"Denver, CO",55,6667160,180.45,17.18,1050.3,6242160,184.51,17.52,1053.2,"Denver, CO
(39.738453, -104.984853)",2017230325
Table 2,2017,2,30257,"Albany, NY",11,333420,219.23,18.04,1215.3,335430,216.49,17.72,1222.1,"Albany, NY
(42.651242, -73.755418)",2017230257
Table 2,2017,2,30198,"Pittsburgh, PA",26,1343190,224.39,22,1020,1281540,226.83,22.66,1001,"Pittsburgh, PA
(40.442169, -79.994945)",2017230198
Table 2,2017,2,30194,"Dallas/Fort Worth, TX",68,7360010,203.54,20.73,981.6,7293070,190.07,19.38,980.5,"Dallas/Fort Worth, TX
(40.11086, -77.035636)",2017230194
Table 2,2017,2,30140,"Albuquerque, NM",17,645530,219.59,22.22,988.2,662110,217.23,21.91,991.3,"Albuquerque, NM
(35.084248, -106.649241)",2017230140
Table 2,2017,1,35096,"Syracuse, NY",5,127680,186.34,21.9,851,133710,184.12,20.98,877.7,"Syracuse, NY
(43.047945, -76.147448)",2017135096
Table 2,2017,1,34986,"Sarasota/Bradenton, FL",5,127260,235.22,23.39,1005.5,142260,221.23,21.9,1010.4,"Sarasota/Bradenton, FL
(27.336483, -82.538602)",2017134986
Table 2,2017,1,34761,"Sanford, FL",7,123550,102.5,10.97,934.7,120690,104.95,11.11,944.6,"Sanford, FL
(37.78008, -122.420168)",2017134761
Table 2,2017,1,34685,"Savannah, GA",3,119780,164.95,21.98,750.6,115540,172.22,22.92,751.3,"Savannah, GA
(40.115007, -111.654713)",2017134685
Table 2,2017,1,34653,"Tulsa, OK",9,223770,224.58,30.47,737,226340,221.04,30.51,724.4,"Tulsa, OK
(61.096484, -160.967455)",2017134653
Table 2,2017,1,34614,"Salt Lake City, UT",32,2270180,216.71,20.12,1077,2087810,229.63,21.05,1090.8,"Salt Lake City, UT
(40.758478, -111.888142)",2017134614
Table 2,2017,1,34576,"Rochester, NY",8,204520,190.27,24.62,772.9,222510,192.38,23.95,803.1,"Rochester, NY
(43.155708, -77.612547)",2017134576
